Country,Gold,Silver,Bronze
Austria,32,38,48
Canada,17,22,20
East Germany,19,17,18
Finland,32,45,38
France,14,12,21
Germany,26,19,15
Italy,22,21,16
Japan,7,9,9
Netherlands,13,21,18
Norway,89,85,67
Russia,9,10,8
Soviet Union,41,28,34
Sweden,34,24,33
Switzerland,24,27,33
United States,45,40,29
